model,feature_type,task,seed,acc,f1_macro
chance,erp,phoneme_identity,-1,0.09090909090909091,0.09090909090909091
lr_mean_std,erp,phoneme_identity,17,0.0912280701754386,0.08560696041469451
lda_mean_std,erp,phoneme_identity,17,0.12192982456140351,0.10005363926097105
eegnet,erp,phoneme_identity,17,0.1631578947368421,0.06430890899372127
shallowconvnet,erp,phoneme_identity,17,0.15964912280701754,0.07133296528222949
eeg_conformer,erp,phoneme_identity,17,0.1692982456140351,0.04987454863052949
lr_mean_std,erp,phoneme_identity,31,0.0912280701754386,0.08560696041469451
lda_mean_std,erp,phoneme_identity,31,0.12192982456140351,0.10005363926097105
eegnet,erp,phoneme_identity,31,0.15789473684210525,0.024793388429752063
shallowconvnet,erp,phoneme_identity,31,0.17982456140350878,0.05217247663908962
eeg_conformer,erp,phoneme_identity,31,0.16140350877192983,0.03516264961012288
lr_mean_std,erp,phoneme_identity,53,0.0912280701754386,0.08560696041469451
lda_mean_std,erp,phoneme_identity,53,0.12192982456140351,0.10005363926097105
eegnet,erp,phoneme_identity,53,0.17105263157894737,0.029477532488829106
shallowconvnet,erp,phoneme_identity,53,0.156140350877193,0.06753606272624789
eeg_conformer,erp,phoneme_identity,53,0.17017543859649123,0.05836109551699373
chance,erp,manner,-1,0.5,0.5
lr_mean_std,erp,manner,17,0.6345238095238095,0.5321064463277759
lda_mean_std,erp,manner,17,0.794047619047619,0.5234019107214892
eegnet,erp,manner,17,0.8571428571428571,0.46153846153846156
shallowconvnet,erp,manner,17,0.85,0.4747394540942928
eeg_conformer,erp,manner,17,0.8571428571428571,0.46153846153846156
lr_mean_std,erp,manner,31,0.6345238095238095,0.5321064463277759
lda_mean_std,erp,manner,31,0.794047619047619,0.5234019107214892
eegnet,erp,manner,31,0.8571428571428571,0.46153846153846156
shallowconvnet,erp,manner,31,0.8571428571428571,0.46153846153846156
eeg_conformer,erp,manner,31,0.8571428571428571,0.46153846153846156
lr_mean_std,erp,manner,53,0.6345238095238095,0.5321064463277759
lda_mean_std,erp,manner,53,0.794047619047619,0.5234019107214892
eegnet,erp,manner,53,0.8571428571428571,0.46153846153846156
shallowconvnet,erp,manner,53,0.8571428571428571,0.46153846153846156
eeg_conformer,erp,manner,53,0.8571428571428571,0.46153846153846156
chance,erp,place,-1,0.5,0.5
lr_mean_std,erp,place,17,0.4785714285714286,0.4757152058550265
lda_mean_std,erp,place,17,0.4988095238095238,0.4936244854125649
eegnet,erp,place,17,0.5738095238095238,0.42436678815350215
shallowconvnet,erp,place,17,0.5726190476190476,0.36668213768930125
eeg_conformer,erp,place,17,0.5714285714285714,0.36363636363636365
lr_mean_std,erp,place,31,0.4785714285714286,0.4757152058550265
lda_mean_std,erp,place,31,0.4988095238095238,0.4936244854125649
eegnet,erp,place,31,0.5714285714285714,0.36363636363636365
shallowconvnet,erp,place,31,0.5702380952380952,0.36315390447308565
eeg_conformer,erp,place,31,0.5714285714285714,0.36363636363636365
lr_mean_std,erp,place,53,0.4785714285714286,0.4757152058550265
lda_mean_std,erp,place,53,0.4988095238095238,0.4936244854125649
eegnet,erp,place,53,0.5714285714285714,0.36363636363636365
shallowconvnet,erp,place,53,0.5714285714285714,0.36363636363636365
