model,feature_type,task,acc_mean,acc_std,f1_mean,f1_std
eeg_conformer,dda,manner,0.8571428571428571,0.0,0.4615384615384615,0.0
eeg_conformer,dda,phoneme_identity,0.17105263157894735,0.0043859649122807084,0.04710503292371727,0.016053130675632132
eeg_conformer,dda,place,0.5714285714285714,0.0,0.3644881989184004,0.0014754219881673756
eeg_conformer,erp,manner,0.8571428571428571,0.0,0.4615384615384615,0.0
eeg_conformer,erp,phoneme_identity,0.1669590643274854,0.004831202234461493,0.0477994312525487,0.011737612926945648
eeg_conformer,erp,place,0.5714285714285714,0.0,0.3636363636363636,0.0
eegnet,dda,manner,0.8511904761904762,0.008247860988423195,0.5288727901079803,0.1103010382621084
eegnet,dda,phoneme_identity,0.16666666666666666,0.00607737125462763,0.06397646823978002,0.009818560274916888
eegnet,dda,place,0.5821428571428572,0.00662829090813107,0.5009064563697735,0.08092910705284193
eegnet,erp,manner,0.8571428571428571,0.0,0.4615384615384615,0.0
eegnet,erp,phoneme_identity,0.16403508771929823,0.006622661785325222,0.03952660997076748,0.021589512732779984
eegnet,erp,place,0.5722222222222222,0.0013746434980705326,0.38387983847540985,0.03506272694297016
lda_mean_std,dda,manner,0.8000000000000002,0.0,0.5916666666666667,0.0
lda_mean_std,dda,phoneme_identity,0.15263157894736842,0.0,0.1094975445863941,0.0
lda_mean_std,dda,place,0.5178571428571429,0.0,0.48405687203791475,0.0
lda_mean_std,erp,manner,0.794047619047619,0.0,0.5234019107214892,0.0
lda_mean_std,erp,phoneme_identity,0.12192982456140351,0.0,0.10005363926097105,0.0
lda_mean_std,erp,place,0.4988095238095238,0.0,0.4936244854125649,0.0
lr_mean_std,dda,manner,0.7119047619047619,0.0,0.5838212773623997,0.0
lr_mean_std,dda,phoneme_identity,0.13859649122807016,0.0,0.10944977387415243,0.0
lr_mean_std,dda,place,0.5154761904761904,0.0,0.512735326688815,0.0
lr_mean_std,erp,manner,0.6345238095238095,0.0,0.5321064463277759,0.0
lr_mean_std,erp,phoneme_identity,0.0912280701754386,0.0,0.08560696041469451,0.0
lr_mean_std,erp,place,0.4785714285714286,0.0,0.4757152058550265,0.0
shallowconvnet,dda,manner,0.8432539682539683,0.0119838641829694,0.5106973234580642,0.04703201939636342
shallowconvnet,dda,phoneme_identity,0.1675438596491228,0.007647191129018715,0.07571313995698752,0.002973176647525949
shallowconvnet,dda,place,0.5694444444444444,0.006556631603912003,0.41794196433810243,0.03427899442792929
shallowconvnet,erp,manner,0.8547619047619047,0.0041239304942115975,0.4659387923904053,0.007621596605679394
shallowconvnet,erp,phoneme_identity,0.1652046783625731,0.012782159645844674,0.063680501549189,0.010145447020881129
shallowconvnet,erp,place,0.5714285714285714,0.0011904761904761862,0.3644908019329169,0.001913022741360969
chance,dda,manner,0.5,,0.5,
chance,dda,phoneme_identity,0.09090909090909091,,0.09090909090909091,
chance,dda,place,0.5,,0.5,
chance,erp,manner,0.5,,0.5,
chance,erp,phoneme_identity,0.09090909090909091,,0.09090909090909091,
chance,erp,place,0.5,,0.5,
