feature_type,task,ablation,seed,return_code,best_val_acc,save_suffix
erp,phoneme_identity,full,17,0,0.1273,ablate_erp_phoneme_identity_full_seed17
erp,phoneme_identity,full,31,0,0.1561,ablate_erp_phoneme_identity_full_seed31
erp,phoneme_identity,full,53,0,0.1112,ablate_erp_phoneme_identity_full_seed53
erp,phoneme_identity,no_se,17,0,0.0928,ablate_erp_phoneme_identity_no_se_seed17
erp,phoneme_identity,no_se,31,0,0.1568,ablate_erp_phoneme_identity_no_se_seed31
erp,phoneme_identity,no_se,53,0,0.1323,ablate_erp_phoneme_identity_no_se_seed53
erp,phoneme_identity,no_stochastic_depth,17,0,0.1444,ablate_erp_phoneme_identity_no_stochastic_depth_seed17
erp,phoneme_identity,no_stochastic_depth,31,0,0.1397,ablate_erp_phoneme_identity_no_stochastic_depth_seed31
erp,phoneme_identity,no_stochastic_depth,53,0,0.135,ablate_erp_phoneme_identity_no_stochastic_depth_seed53
erp,phoneme_identity,no_attention_pool,17,0,0.1591,ablate_erp_phoneme_identity_no_attention_pool_seed17
erp,phoneme_identity,no_attention_pool,31,0,0.1598,ablate_erp_phoneme_identity_no_attention_pool_seed31
erp,phoneme_identity,no_attention_pool,53,0,0.132,ablate_erp_phoneme_identity_no_attention_pool_seed53
erp,phoneme_identity,no_multiscale,17,0,0.1343,ablate_erp_phoneme_identity_no_multiscale_seed17
erp,phoneme_identity,no_multiscale,31,0,0.1069,ablate_erp_phoneme_identity_no_multiscale_seed31
erp,phoneme_identity,no_multiscale,53,0,0.1296,ablate_erp_phoneme_identity_no_multiscale_seed53
erp,manner,full,17,0,0.8462,ablate_erp_manner_full_seed17
erp,manner,full,31,0,0.7321,ablate_erp_manner_full_seed31
erp,manner,full,53,0,0.7448,ablate_erp_manner_full_seed53
erp,manner,no_se,17,0,0.7253,ablate_erp_manner_no_se_seed17
erp,manner,no_se,31,0,0.7072,ablate_erp_manner_no_se_seed31
erp,manner,no_se,53,0,0.6828,ablate_erp_manner_no_se_seed53
erp,manner,no_stochastic_depth,17,0,0.8262,ablate_erp_manner_no_stochastic_depth_seed17
erp,manner,no_stochastic_depth,31,0,0.776,ablate_erp_manner_no_stochastic_depth_seed31
erp,manner,no_stochastic_depth,53,0,0.7575,ablate_erp_manner_no_stochastic_depth_seed53
erp,manner,no_attention_pool,17,0,0.8548,ablate_erp_manner_no_attention_pool_seed17
erp,manner,no_attention_pool,31,0,0.8597,ablate_erp_manner_no_attention_pool_seed31
erp,manner,no_attention_pool,53,0,0.7525,ablate_erp_manner_no_attention_pool_seed53
erp,manner,no_multiscale,17,0,0.8213,ablate_erp_manner_no_multiscale_seed17
erp,manner,no_multiscale,31,0,0.857,ablate_erp_manner_no_multiscale_seed31
erp,manner,no_multiscale,53,0,0.5941,ablate_erp_manner_no_multiscale_seed53
erp,place,full,17,0,0.5548,ablate_erp_place_full_seed17
erp,place,full,31,0,0.5285,ablate_erp_place_full_seed31
erp,place,full,53,0,0.5701,ablate_erp_place_full_seed53
erp,place,no_se,17,0,0.5674,ablate_erp_place_no_se_seed17
erp,place,no_se,31,0,0.5611,ablate_erp_place_no_se_seed31
erp,place,no_se,53,0,0.5575,ablate_erp_place_no_se_seed53
erp,place,no_stochastic_depth,17,0,0.4629,ablate_erp_place_no_stochastic_depth_seed17
erp,place,no_stochastic_depth,31,0,0.5199,ablate_erp_place_no_stochastic_depth_seed31
erp,place,no_stochastic_depth,53,0,0.5701,ablate_erp_place_no_stochastic_depth_seed53
erp,place,no_attention_pool,17,0,0.5701,ablate_erp_place_no_attention_pool_seed17
erp,place,no_attention_pool,31,0,0.5701,ablate_erp_place_no_attention_pool_seed31
erp,place,no_attention_pool,53,0,0.5258,ablate_erp_place_no_attention_pool_seed53
erp,place,no_multiscale,17,0,0.5715,ablate_erp_place_no_multiscale_seed17
erp,place,no_multiscale,31,0,0.5448,ablate_erp_place_no_multiscale_seed31
erp,place,no_multiscale,53,0,0.5729,ablate_erp_place_no_multiscale_seed53
dda,phoneme_identity,full,17,0,0.1434,ablate_dda_phoneme_identity_full_seed17
dda,phoneme_identity,full,31,0,0.1273,ablate_dda_phoneme_identity_full_seed31
dda,phoneme_identity,full,53,0,0.1045,ablate_dda_phoneme_identity_full_seed53
dda,phoneme_identity,no_se,17,0,0.0714,ablate_dda_phoneme_identity_no_se_seed17
dda,phoneme_identity,no_se,31,0,0.1434,ablate_dda_phoneme_identity_no_se_seed31
dda,phoneme_identity,no_se,53,0,0.1528,ablate_dda_phoneme_identity_no_se_seed53
dda,phoneme_identity,no_stochastic_depth,17,0,0.125,ablate_dda_phoneme_identity_no_stochastic_depth_seed17
dda,phoneme_identity,no_stochastic_depth,31,0,0.1564,ablate_dda_phoneme_identity_no_stochastic_depth_seed31
dda,phoneme_identity,no_stochastic_depth,53,0,0.1263,ablate_dda_phoneme_identity_no_stochastic_depth_seed53
dda,phoneme_identity,no_attention_pool,17,0,0.1591,ablate_dda_phoneme_identity_no_attention_pool_seed17
dda,phoneme_identity,no_attention_pool,31,0,0.1698,ablate_dda_phoneme_identity_no_attention_pool_seed31
dda,phoneme_identity,no_attention_pool,53,0,0.0519,ablate_dda_phoneme_identity_no_attention_pool_seed53
dda,phoneme_identity,no_multiscale,17,0,0.1504,ablate_dda_phoneme_identity_no_multiscale_seed17
dda,phoneme_identity,no_multiscale,31,0,0.1216,ablate_dda_phoneme_identity_no_multiscale_seed31
dda,phoneme_identity,no_multiscale,53,0,0.1397,ablate_dda_phoneme_identity_no_multiscale_seed53
dda,manner,full,17,0,0.595,ablate_dda_manner_full_seed17
dda,manner,full,31,0,0.6561,ablate_dda_manner_full_seed31
dda,manner,full,53,0,0.8597,ablate_dda_manner_full_seed53
dda,manner,no_se,17,0,0.8593,ablate_dda_manner_no_se_seed17
dda,manner,no_se,31,0,0.7656,ablate_dda_manner_no_se_seed31
dda,manner,no_se,53,0,0.8597,ablate_dda_manner_no_se_seed53
dda,manner,no_stochastic_depth,17,0,0.7525,ablate_dda_manner_no_stochastic_depth_seed17
dda,manner,no_stochastic_depth,31,0,0.7602,ablate_dda_manner_no_stochastic_depth_seed31
dda,manner,no_stochastic_depth,53,0,0.857,ablate_dda_manner_no_stochastic_depth_seed53
dda,manner,no_attention_pool,17,0,0.8597,ablate_dda_manner_no_attention_pool_seed17
dda,manner,no_attention_pool,31,0,0.8597,ablate_dda_manner_no_attention_pool_seed31
dda,manner,no_attention_pool,53,0,0.4484,ablate_dda_manner_no_attention_pool_seed53
dda,manner,no_multiscale,17,0,0.8597,ablate_dda_manner_no_multiscale_seed17
dda,manner,no_multiscale,31,0,0.8376,ablate_dda_manner_no_multiscale_seed31
dda,manner,no_multiscale,53,0,0.8593,ablate_dda_manner_no_multiscale_seed53
dda,place,full,17,0,0.5706,ablate_dda_place_full_seed17
dda,place,full,31,0,0.5724,ablate_dda_place_full_seed31
dda,place,full,53,0,0.5706,ablate_dda_place_full_seed53
dda,place,no_se,17,0,0.5507,ablate_dda_place_no_se_seed17
dda,place,no_se,31,0,0.5683,ablate_dda_place_no_se_seed31
dda,place,no_se,53,0,0.4688,ablate_dda_place_no_se_seed53
dda,place,no_stochastic_depth,17,0,0.5706,ablate_dda_place_no_stochastic_depth_seed17
dda,place,no_stochastic_depth,31,0,0.5706,ablate_dda_place_no_stochastic_depth_seed31
dda,place,no_stochastic_depth,53,0,0.5688,ablate_dda_place_no_stochastic_depth_seed53
dda,place,no_attention_pool,17,0,0.5701,ablate_dda_place_no_attention_pool_seed17
dda,place,no_attention_pool,31,0,0.5747,ablate_dda_place_no_attention_pool_seed31
