feature_type,task,ablation,seed,return_code,best_val_acc,save_suffix
erp,phoneme_identity,full,17,0,0.1273,ablate_erp_phoneme_identity_full_seed17
erp,phoneme_identity,no_se,17,0,0.0928,ablate_erp_phoneme_identity_no_se_seed17
erp,phoneme_identity,no_stochastic_depth,17,0,0.1444,ablate_erp_phoneme_identity_no_stochastic_depth_seed17
erp,phoneme_identity,no_attention_pool,17,0,0.1591,ablate_erp_phoneme_identity_no_attention_pool_seed17
erp,phoneme_identity,no_multiscale,17,0,0.1343,ablate_erp_phoneme_identity_no_multiscale_seed17
erp,manner,full,17,0,0.8462,ablate_erp_manner_full_seed17
erp,manner,no_se,17,0,0.7253,ablate_erp_manner_no_se_seed17
erp,manner,no_stochastic_depth,17,0,0.8262,ablate_erp_manner_no_stochastic_depth_seed17
erp,manner,no_attention_pool,17,0,0.8548,ablate_erp_manner_no_attention_pool_seed17
erp,manner,no_multiscale,17,0,0.8213,ablate_erp_manner_no_multiscale_seed17
erp,place,full,17,0,0.5548,ablate_erp_place_full_seed17
erp,place,no_se,17,0,0.5674,ablate_erp_place_no_se_seed17
erp,place,no_stochastic_depth,17,0,0.4629,ablate_erp_place_no_stochastic_depth_seed17
erp,place,no_attention_pool,17,0,0.5701,ablate_erp_place_no_attention_pool_seed17
erp,place,no_multiscale,17,0,0.5715,ablate_erp_place_no_multiscale_seed17
dda,phoneme_identity,full,17,0,0.1434,ablate_dda_phoneme_identity_full_seed17
dda,phoneme_identity,no_se,17,0,0.0714,ablate_dda_phoneme_identity_no_se_seed17
dda,phoneme_identity,no_stochastic_depth,17,0,0.125,ablate_dda_phoneme_identity_no_stochastic_depth_seed17
dda,phoneme_identity,no_attention_pool,17,0,0.1591,ablate_dda_phoneme_identity_no_attention_pool_seed17
dda,phoneme_identity,no_multiscale,17,0,0.1504,ablate_dda_phoneme_identity_no_multiscale_seed17
dda,manner,full,17,0,0.595,ablate_dda_manner_full_seed17
dda,manner,no_se,17,0,0.8593,ablate_dda_manner_no_se_seed17
dda,manner,no_stochastic_depth,17,0,0.7525,ablate_dda_manner_no_stochastic_depth_seed17
dda,manner,no_attention_pool,17,0,0.8597,ablate_dda_manner_no_attention_pool_seed17
dda,manner,no_multiscale,17,0,0.8597,ablate_dda_manner_no_multiscale_seed17
dda,place,full,17,0,0.5706,ablate_dda_place_full_seed17
dda,place,no_se,17,0,0.5507,ablate_dda_place_no_se_seed17
dda,place,no_stochastic_depth,17,0,0.5706,ablate_dda_place_no_stochastic_depth_seed17
dda,place,no_attention_pool,17,0,0.5701,ablate_dda_place_no_attention_pool_seed17
dda,place,no_multiscale,17,0,0.5674,ablate_dda_place_no_multiscale_seed17
