feature_type,task,ablation,n_runs,val_acc_mean,val_acc_std,n_fail
dda,manner,no_attention_pool,1,0.8597,,0
dda,manner,no_multiscale,1,0.8597,,0
dda,manner,no_se,1,0.8593,,0
dda,manner,no_stochastic_depth,1,0.7525,,0
dda,manner,full,1,0.595,,0
dda,phoneme_identity,no_attention_pool,1,0.1591,,0
dda,phoneme_identity,no_multiscale,1,0.1504,,0
dda,phoneme_identity,full,1,0.1434,,0
dda,phoneme_identity,no_stochastic_depth,1,0.125,,0
dda,phoneme_identity,no_se,1,0.0714,,0
dda,place,full,1,0.5706,,0
dda,place,no_stochastic_depth,1,0.5706,,0
dda,place,no_attention_pool,1,0.5701,,0
dda,place,no_multiscale,1,0.5674,,0
dda,place,no_se,1,0.5507,,0
erp,manner,no_attention_pool,1,0.8548,,0
erp,manner,full,1,0.8462,,0
erp,manner,no_stochastic_depth,1,0.8262,,0
erp,manner,no_multiscale,1,0.8213,,0
erp,manner,no_se,1,0.7253,,0
erp,phoneme_identity,no_attention_pool,1,0.1591,,0
erp,phoneme_identity,no_stochastic_depth,1,0.1444,,0
erp,phoneme_identity,no_multiscale,1,0.1343,,0
erp,phoneme_identity,full,1,0.1273,,0
erp,phoneme_identity,no_se,1,0.0928,,0
erp,place,no_multiscale,1,0.5715,,0
erp,place,no_attention_pool,1,0.5701,,0
erp,place,no_se,1,0.5674,,0
erp,place,full,1,0.5548,,0
erp,place,no_stochastic_depth,1,0.4629,,0
