feature_type,task,tms_condition,split,top1_acc,top3_acc,f1_macro,f1_per_class,n_samples
ensemble,phoneme_identity,null,study2_val,0.1167,0.3439,0.0763,"{'a': 0.0, 'b': 0.0193, 'd': 0.2241, 'e': 0.0645, 'i': 0.029, 'o': 0.0, 'p': 0.0, 's': 0.0998, 't': 0.2211, 'u': 0.0241, 'z': 0.1571}",1140
ensemble,phoneme_identity,null,study1_test,0.0793,0.2594,0.0465,"{'a': 0.0, 'b': 0.1204, 'd': 0.1316, 'e': 0.0375, 'i': 0.0, 'o': 0.015, 'p': 0.0, 's': 0.0, 't': 0.1931, 'u': 0.0141, 'z': 0.0}",1249
ensemble,phoneme_identity,lip,study2_val,0.2708,0.7708,0.2461,"{'a': 0.0, 'b': 0.075, 'd': 0.3137, 'e': 0.0, 'i': 0.0, 'o': 0.0, 'p': 0.2243, 's': 0.0, 't': 0.3714, 'u': 0.0, 'z': 0.0}",240
ensemble,phoneme_identity,lip,study1_test,0.1237,0.3662,0.0608,"{'a': 0.0, 'b': 0.0467, 'd': 0.1951, 'e': 0.0, 'i': 0.0, 'o': 0.0, 'p': 0.1156, 's': 0.0, 't': 0.1899, 'u': 0.0, 'z': 0.0}",1237
ensemble,phoneme_identity,tongue,study2_val,0.25,0.8042,0.2209,"{'a': 0.0, 'b': 0.1124, 'd': 0.2037, 'e': 0.0, 'i': 0.0, 'o': 0.0, 'p': 0.1651, 's': 0.0, 't': 0.4023, 'u': 0.0, 'z': 0.0}",240
ensemble,phoneme_identity,tongue,study1_test,0.1234,0.3766,0.0683,"{'a': 0.0, 'b': 0.1451, 'd': 0.0969, 'e': 0.0, 'i': 0.0, 'o': 0.0, 'p': 0.1692, 's': 0.0, 't': 0.2036, 'u': 0.0, 'z': 0.0}",1256
ensemble,place,null,study2_val,0.5774,0.5774,0.5447,"{'alveolar': 0.6667, 'bilabial': 0.4228}",840
ensemble,place,null,study1_test,0.53,0.53,0.4757,"{'alveolar': 0.6445, 'bilabial': 0.307}",1249
ensemble,place,lip,study2_val,0.5292,0.5292,0.4782,"{'alveolar': 0.6413, 'bilabial': 0.3152}",240
ensemble,place,lip,study1_test,0.6766,0.6766,0.4895,"{'alveolar': 0.7986, 'bilabial': 0.1803}",1237
ensemble,place,tongue,study2_val,0.5125,0.5125,0.3916,"{'alveolar': 0.6628, 'bilabial': 0.1203}",240
ensemble,place,tongue,study1_test,0.7245,0.7245,0.4565,"{'alveolar': 0.8382, 'bilabial': 0.0749}",1256
ensemble,manner,null,study2_val,0.8571,0.8571,0.4615,"{'fricative': 0.0, 'stop': 0.9231}",840
ensemble,manner,null,study1_test,1.0,1.0,1.0,"{'fricative': 0.0, 'stop': 1.0}",1249
ensemble,manner,lip,study2_val,1.0,1.0,1.0,"{'fricative': 0.0, 'stop': 1.0}",240
ensemble,manner,lip,study1_test,1.0,1.0,1.0,"{'fricative': 0.0, 'stop': 1.0}",1237
ensemble,manner,tongue,study2_val,1.0,1.0,1.0,"{'fricative': 0.0, 'stop': 1.0}",240
ensemble,manner,tongue,study1_test,1.0,1.0,1.0,"{'fricative': 0.0, 'stop': 1.0}",1256
ensemble,voicing,null,study2_val,0.4792,0.4792,0.4792,"{'unvoiced': 0.477, 'voiced': 0.4813}",240
ensemble,category,null,study2_val,0.7333,0.7333,0.4503,"{'consonant': 0.8447, 'vowel': 0.0559}",1140
ensemble,category,null,study1_test,0.482,0.482,0.3252,"{'consonant': 0.6505, 'vowel': 0.0}",1249
ensemble,category,lip,study2_val,1.0,1.0,1.0,"{'consonant': 1.0, 'vowel': 0.0}",240
ensemble,category,lip,study1_test,0.5101,0.5101,0.3378,"{'consonant': 0.6756, 'vowel': 0.0}",1237
ensemble,category,tongue,study2_val,1.0,1.0,1.0,"{'consonant': 1.0, 'vowel': 0.0}",240
ensemble,category,tongue,study1_test,0.5024,0.5024,0.3344,"{'consonant': 0.6688, 'vowel': 0.0}",1256
ensemble,complexity,null,study2_val,0.5798,1.0,0.2475,"{'diphone': 0.0083, 'single_phoneme': 0.7341, 'triphone': 0.0}",1140
ensemble,complexity,null,study1_test,0.0833,1.0,0.0512,"{'diphone': 0.1537, 'single_phoneme': 0.0, 'triphone': 0.0}",1249
ensemble,complexity,lip,study2_val,1.0,1.0,1.0,"{'diphone': 1.0, 'single_phoneme': 0.0, 'triphone': 0.0}",240
ensemble,complexity,lip,study1_test,1.0,1.0,1.0,"{'diphone': 1.0, 'single_phoneme': 0.0, 'triphone': 0.0}",1237
ensemble,complexity,tongue,study2_val,1.0,1.0,1.0,"{'diphone': 1.0, 'single_phoneme': 0.0, 'triphone': 0.0}",240
ensemble,complexity,tongue,study1_test,1.0,1.0,1.0,"{'diphone': 1.0, 'single_phoneme': 0.0, 'triphone': 0.0}",1256
