feature_type,task,held_out_subject,n_classes,acc,f1_macro,eval,model
erp,phoneme_identity,sub-S01,11,0.13478260869565217,0.09716234477686919,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S02,11,0.09946236559139784,0.056369574437065785,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S03,11,0.05526315789473684,0.04039186625956113,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S04,11,0.09473684210526316,0.09243374751482393,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S05,11,0.11842105263157894,0.09938467049905995,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S06,11,0.12894736842105264,0.09807538648568244,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S07,11,0.16842105263157894,0.15062736703128635,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S08,11,0.11578947368421053,0.0841400650977892,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S09,11,0.09210526315789473,0.08651754568885973,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S10,11,0.1394736842105263,0.07269704760585241,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S11,11,0.1631578947368421,0.046050519316923874,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S12,11,0.10526315789473684,0.07537894081851836,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S13,11,0.04923076923076923,0.033119283302214614,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S14,11,0.05789473684210526,0.028230602143645624,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S15,11,0.07105263157894737,0.0625193002722224,LOSO_NULL,lr_mean_std
erp,phoneme_identity,sub-S16,11,0.07631578947368421,0.06086901079841702,LOSO_NULL,lr_mean_std
erp,place,sub-S01,2,0.5277777777777778,0.5151937640609652,LOSO_NULL,lr_mean_std
erp,place,sub-S02,2,0.5625,0.4355370315470066,LOSO_NULL,lr_mean_std
erp,place,sub-S03,2,0.5821428571428572,0.5277837837837838,LOSO_NULL,lr_mean_std
erp,place,sub-S04,2,0.525,0.5183091668714672,LOSO_NULL,lr_mean_std
erp,place,sub-S05,2,0.475,0.4584139264990329,LOSO_NULL,lr_mean_std
erp,place,sub-S06,2,0.46785714285714286,0.4165932513878984,LOSO_NULL,lr_mean_std
erp,place,sub-S07,2,0.4785714285714286,0.4707679560872042,LOSO_NULL,lr_mean_std
erp,place,sub-S08,2,0.4928571428571429,0.4775021026072329,LOSO_NULL,lr_mean_std
erp,place,sub-S09,2,0.5071428571428571,0.45580530674328207,LOSO_NULL,lr_mean_std
erp,place,sub-S10,2,0.5607142857142857,0.3805643986402633,LOSO_NULL,lr_mean_std
