model,feature_type,task,acc_mean,acc_std,f1_mean,f1_std
eegnet,dda,manner,0.8551587301587301,0.0018184824186332,0.4764946587992336,0.0154846719058061
eegnet,dda,phoneme_identity,0.1763157894736842,0.0092833379335599,0.0907611457248159,0.0099364265784586
eegnet,dda,place,0.573015873015873,0.0018184824186332,0.4313804871643743,0.0811472358360424
eegnet,erp,manner,0.8571428571428571,0.0,0.4615384615384615,0.0
eegnet,erp,phoneme_identity,0.1739766081871344,0.0053597376549191,0.0692902636991104,0.006541045881303
eegnet,erp,place,0.5714285714285714,0.0,0.3636363636363636,0.0
lda_mean_std,dda,manner,0.8000000000000002,0.0,0.5916666666666667,0.0
lda_mean_std,dda,phoneme_identity,0.1526315789473684,0.0,0.1094975445863941,0.0
lda_mean_std,dda,place,0.5178571428571429,0.0,0.4840568720379147,0.0
lda_mean_std,erp,manner,0.7690476190476191,0.0,0.5284722222222222,0.0
lda_mean_std,erp,phoneme_identity,0.1324561403508772,0.0,0.1150851076732442,0.0
lda_mean_std,erp,place,0.5190476190476191,0.0,0.4815163385910981,0.0
lr_mean_std,dda,manner,0.7107142857142857,0.0,0.5844724783248614,0.0
lr_mean_std,dda,phoneme_identity,0.1394736842105263,0.0,0.1102826187578363,0.0
lr_mean_std,dda,place,0.513095238095238,0.0,0.5099777353372005,0.0
lr_mean_std,erp,manner,0.5904761904761905,0.0,0.4995809059358959,0.0
lr_mean_std,erp,phoneme_identity,0.0894736842105263,0.0,0.0880132291881691,0.0
lr_mean_std,erp,place,0.5071428571428571,0.0,0.5008926982450299,0.0
shallowconvnet,dda,manner,0.8511904761904762,0.0092979162808412,0.481628569741161,0.0177132868277501
shallowconvnet,dda,phoneme_identity,0.1599415204678362,0.00616120102506,0.0644655252007367,0.0082817723423953
shallowconvnet,dda,place,0.567063492063492,0.0036369648372665,0.4282326566419159,0.051160792495036
shallowconvnet,erp,manner,0.8571428571428571,0.0,0.4615384615384615,0.0
shallowconvnet,erp,phoneme_identity,0.1704678362573099,0.0065838188591799,0.0498295039291445,0.02060230741927
shallowconvnet,erp,place,0.5726190476190476,0.0,0.3715978724952516,0.0085143024404408
chance,dda,manner,0.5,,0.5,
chance,dda,phoneme_identity,0.0909090909090909,,0.0909090909090909,
chance,dda,place,0.5,,0.5,
chance,erp,manner,0.5,,0.5,
chance,erp,phoneme_identity,0.0909090909090909,,0.0909090909090909,
chance,erp,place,0.5,,0.5,
cipher,erp,phoneme_identity,0.1552631578947368,0.0,0.0868822143969703,0.0
cipher,erp,manner,0.8523809523809524,0.0,0.585554901243017,0.0
cipher,erp,place,0.5726190476190476,0.0,0.5508322472537702,0.0
cipher,dda,phoneme_identity,0.1657894736842105,0.0,0.0382979636360031,0.0
cipher,dda,manner,0.8595238095238096,0.0,0.5010470360824743,0.0
cipher,dda,place,0.5738095238095238,0.0,0.4655918793849828,0.0
