model,feature_type,word_type,wer_mean,ci95_low,ci95_high,n_subjects
cipher,erp,cvc_real_words,0.8249999999999998,0.8000000000000002,0.8416666666666667,3
cipher,erp,cvc_pseudowords,0.8083333333333332,0.7583333333333333,0.9,3
chance,erp,cvc_real_words,0.9090909090909091,,,3
chance,erp,cvc_pseudowords,0.9090909090909091,,,3
lr_mean_std,erp,cvc_real_words,0.9333333333333332,0.875,0.998125,3
lr_mean_std,erp,cvc_pseudowords,0.9166666666666666,0.8583333333333334,0.994375,3
lda_mean_std,erp,cvc_real_words,0.8916666666666666,0.7916666666666666,0.998125,3
lda_mean_std,erp,cvc_pseudowords,0.7916666666666666,0.6749999999999999,0.9212500000000001,3
eegnet,erp,cvc_real_words,0.6166666666666667,0.6,0.64625,3
eegnet,erp,cvc_pseudowords,0.6833333333333332,0.65,0.7424999999999999,3
shallowconvnet,erp,cvc_real_words,0.6,0.5768749999999999,0.623125,3
shallowconvnet,erp,cvc_pseudowords,0.725,0.6806250000000001,0.75,3
eeg_conformer,erp,cvc_real_words,0.6,0.5768749999999999,0.623125,3
eeg_conformer,erp,cvc_pseudowords,0.7166666666666667,0.6787500000000002,0.7416666666666667,3
cipher,dda,cvc_real_words,0.6166666666666667,0.6,0.6333333333333333,3
cipher,dda,cvc_pseudowords,0.8000000000000002,0.8000000000000002,0.8000000000000002,3
chance,dda,cvc_real_words,0.9090909090909091,,,3
chance,dda,cvc_pseudowords,0.9090909090909091,,,3
lr_mean_std,dda,cvc_real_words,0.8583333333333333,0.77875,0.9637499999999999,3
lr_mean_std,dda,cvc_pseudowords,0.85,0.775,0.9637499999999999,3
lda_mean_std,dda,cvc_real_words,0.7999999999999999,0.75,0.8887499999999999,3
lda_mean_std,dda,cvc_pseudowords,0.8250000000000001,0.7666666666666666,0.89625,3
eegnet,dda,cvc_real_words,0.6166666666666667,0.6018749999999999,0.625,3
eegnet,dda,cvc_pseudowords,0.75,0.7018749999999999,0.7916666666666666,3
shallowconvnet,dda,cvc_real_words,0.5916666666666667,0.5833333333333333,0.6,3
shallowconvnet,dda,cvc_pseudowords,0.7166666666666667,0.7018749999999999,0.725,3
eeg_conformer,dda,cvc_real_words,0.6,0.6,0.6,3
eeg_conformer,dda,cvc_pseudowords,0.7166666666666668,0.6787500000000002,0.7416666666666667,3
