feature_type,held_out_subject,word_type,wer,n_samples
erp,sub-S01,cvc_real_words,0.6,20
erp,sub-S01,cvc_pseudowords,0.8,20
erp,sub-S01,cvc_all,0.7,40
erp,sub-S02,cvc_real_words,0.6111111111111112,36
erp,sub-S02,cvc_pseudowords,0.8055555555555556,36
erp,sub-S02,cvc_all,0.7083333333333334,72
erp,sub-S03,cvc_real_words,0.65,40
erp,sub-S03,cvc_pseudowords,0.75,40
erp,sub-S03,cvc_all,0.7,80
erp,sub-S04,cvc_real_words,0.6,40
erp,sub-S04,cvc_pseudowords,0.8,40
erp,sub-S04,cvc_all,0.7,80
erp,sub-S05,cvc_real_words,0.775,40
erp,sub-S05,cvc_pseudowords,0.775,40
erp,sub-S05,cvc_all,0.775,80
erp,sub-S06,cvc_real_words,0.725,40
erp,sub-S06,cvc_pseudowords,0.75,40
erp,sub-S06,cvc_all,0.7375,80
erp,sub-S07,cvc_real_words,0.7,40
erp,sub-S07,cvc_pseudowords,0.8,40
erp,sub-S07,cvc_all,0.75,80
erp,sub-S08,cvc_real_words,0.625,40
erp,sub-S08,cvc_pseudowords,0.75,40
erp,sub-S08,cvc_all,0.6875,80
erp,sub-S09,cvc_real_words,0.7,40
erp,sub-S09,cvc_pseudowords,0.775,40
erp,sub-S09,cvc_all,0.7375,80
erp,sub-S10,cvc_real_words,0.6,40
erp,sub-S10,cvc_pseudowords,0.8,40
erp,sub-S10,cvc_all,0.7,80
erp,sub-S11,cvc_real_words,0.75,40
erp,sub-S11,cvc_pseudowords,0.775,40
erp,sub-S11,cvc_all,0.7625,80
erp,sub-S12,cvc_real_words,0.675,40
erp,sub-S12,cvc_pseudowords,0.8,40
erp,sub-S12,cvc_all,0.7375,80
erp,sub-S13,cvc_real_words,0.6,40
erp,sub-S13,cvc_pseudowords,0.8,40
erp,sub-S13,cvc_all,0.7,80
erp,sub-S14,cvc_real_words,0.6,40
erp,sub-S14,cvc_pseudowords,0.8,40
erp,sub-S14,cvc_all,0.7,80
erp,sub-S15,cvc_real_words,0.875,40
erp,sub-S15,cvc_pseudowords,0.7,40
erp,sub-S15,cvc_all,0.7875,80
erp,sub-S16,cvc_real_words,0.65,40
erp,sub-S16,cvc_pseudowords,0.8,40
erp,sub-S16,cvc_all,0.725,80
dda,sub-S01,cvc_real_words,0.8,20
dda,sub-S01,cvc_pseudowords,0.85,20
dda,sub-S01,cvc_all,0.825,40
dda,sub-S02,cvc_real_words,0.7777777777777778,36
dda,sub-S02,cvc_pseudowords,0.8333333333333334,36
dda,sub-S02,cvc_all,0.8055555555555556,72
dda,sub-S03,cvc_real_words,0.575,40
dda,sub-S03,cvc_pseudowords,0.775,40
dda,sub-S03,cvc_all,0.675,80
dda,sub-S04,cvc_real_words,0.625,40
dda,sub-S04,cvc_pseudowords,0.7,40
dda,sub-S04,cvc_all,0.6625,80
dda,sub-S05,cvc_real_words,0.825,40
dda,sub-S05,cvc_pseudowords,0.75,40
dda,sub-S05,cvc_all,0.7875,80
dda,sub-S06,cvc_real_words,0.65,40
dda,sub-S06,cvc_pseudowords,0.65,40
dda,sub-S06,cvc_all,0.65,80
dda,sub-S07,cvc_real_words,0.825,40
dda,sub-S07,cvc_pseudowords,0.775,40
dda,sub-S07,cvc_all,0.8,80
dda,sub-S08,cvc_real_words,0.65,40
dda,sub-S08,cvc_pseudowords,0.725,40
dda,sub-S08,cvc_all,0.6875,80
dda,sub-S09,cvc_real_words,0.85,40
dda,sub-S09,cvc_pseudowords,0.75,40
dda,sub-S09,cvc_all,0.8,80
dda,sub-S10,cvc_real_words,0.65,40
dda,sub-S10,cvc_pseudowords,0.775,40
dda,sub-S10,cvc_all,0.7125,80
dda,sub-S11,cvc_real_words,0.6,40
dda,sub-S11,cvc_pseudowords,0.8,40
dda,sub-S11,cvc_all,0.7,80
dda,sub-S12,cvc_real_words,0.6,40
dda,sub-S12,cvc_pseudowords,0.8,40
dda,sub-S12,cvc_all,0.7,80
dda,sub-S13,cvc_real_words,0.725,40
dda,sub-S13,cvc_pseudowords,0.775,40
dda,sub-S13,cvc_all,0.75,80
dda,sub-S14,cvc_real_words,0.65,40
dda,sub-S14,cvc_pseudowords,0.8,40
dda,sub-S14,cvc_all,0.725,80
dda,sub-S15,cvc_real_words,0.6,40
dda,sub-S15,cvc_pseudowords,0.8,40
dda,sub-S15,cvc_all,0.7,80
dda,sub-S16,cvc_real_words,0.6,40
dda,sub-S16,cvc_pseudowords,0.8,40
dda,sub-S16,cvc_all,0.7,80
